Name,GP,PPGPointsPoints per game,RPGReboundsRebounds per game,APGAssistsAssists per game
 Payton,5,6.8,3.4,3
 Pickett,3,1,0,0
 Plumlee,10,6.5,7.8,2.6
 Poeltl,7,13.9,9.7,2.6
 Pokusevski,8,4.9,4.1,1
 Poole,8,17.6,2.4,3.3
 Porter Jr.,8,13.3,4.5,5.1
 Porter Jr.,8,10.9,6.9,2.1
 Porter Jr.,8,6,3.9,1.4
 Portis,4,9.8,6,0.5
 Porzingis,3,12.7,6,0.7
 Powell,8,8.1,4.6,1
 Powell,7,18,2.7,1.4
 Primo,2,2.5,0.5,0
 Prince,8,3.1,2.3,0.8
 Pritchard,8,2.5,2.1,1.5
 Quickley,9,5.7,1.6,1.4
 Randle,9,21.9,11.3,5.7
 Reaves,8,5.4,1.6,0.8
 Reddish,9,13.1,2.7,1
 Reed,6,2,2.5,0.8
 Reid,8,8.4,2.8,0.9
 Richards,7,2.9,1.1,0.3
 Richardson,7,6.7,2.7,1
 Rivers,6,2.2,0.8,0.8
 Robinson,8,10.6,4.3,1.1
 Robinson-Earl,8,5,3.5,0.4
 Robinson,9,4.4,1.1,1.2
 Robinson,9,7.1,8.6,1.2
 Roby,5,5.2,2.2,0.4
 Rondo,5,4.8,1.8,4.2
 Rose,9,12.7,3.1,2.9
 Ross,10,9.4,1.8,1.8
 Rozier,5,11.4,3.4,3
 Rubio,10,11.4,3.8,6.5
 Russell,6,14.8,3.8,4.5
 Sabonis,10,19.5,11,4.2
 Satoransky,5,3.4,0.6,1.6
 Schroder,9,13.3,3.9,6
 Scrubb,2,3,0.5,0
 Selden,1,0,0,0
 Sengun,8,8.8,4.4,2.5
 Sexton,10,16.8,3.5,1.9
 Shamet,7,6.4,2,1.3
 Sharpe,4,1.8,0.5,0
 Simons,9,14.4,2.2,2
 Sims,4,0.8,1.5,0
 Smart,8,8.8,3.6,3.8
 Smith Jr.,5,3.8,1.4,2.6
 Smith,10,6.3,1.5,3.3
 Smith,2,4.5,3,0
 Snell,3,2,0.7,0
 Springer,1,0,0,0
 Stevens,6,1.5,1.8,0.2
 Stewart,9,7.8,7,1.1
 Strus,6,6,2.7,0.8
 Suggs,10,12.6,3.3,3.4
 Tate,8,10.4,6.1,2.5
 Tatum,9,22.7,8.1,3.4
 Temple,8,5.5,3.1,1.1
 Theis,6,7.5,5,0.5
 Thomas,5,0.4,0.2,0.2
 Thomas,1,0,0,0
 Thompson,6,4.5,4.2,0.5
 Thor,2,0,0,0
 Thybulle,9,5.1,2.3,1.3
 Tillie,3,0,1.7,0
 Tillman Sr.,7,4.6,3.1,1.1
