FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Evan Fournier,Nyk,G-F,29.02,9,30.9,64.5,21.3,8.1,17,0.765,49,0.449,69,0.391,0.53,0.55,15.3,3,5.1,2.1,10.5,1,0.44,1.22,5.9,109.7,106.8
De'Aaron Fox,Sac,G,23.88,9,35.6,74.2,27.8,14.4,47,0.681,113,0.478,45,0.178,0.418,0.459,18.2,4.1,6,6.7,27.8,1.22,0.22,3.33,8.9,96.2,102.5
Daniel Gafford,Was,F-C,23.1,7,18.4,38.2,17.1,15.9,14,0.714,36,0.694,0,0,0.694,0.712,8.6,4.1,11.9,0.6,4.9,0.71,1.86,1.14,6,129.9,99.5
Danilo Gallinari,Atl,F,33.24,6,16.6,34.5,19.6,6.6,8,0.75,18,0.389,21,0.381,0.487,0.517,7.3,3.5,11,0.5,4.3,0.5,0.17,0.5,5.6,109.9,108.3
Darius Garland,Cle,G,21.78,8,32.8,68.4,21.8,24.8,20,0.85,46,0.565,45,0.4,0.582,0.616,15.4,2.3,3.6,7.9,37.5,1.13,0.13,4.13,8,107,108
Marcus Garrett,Mia,G,22.99,2,3.5,7.3,6.1,0,0,0,1,0,0,0,0,0,0,0,0,1,34.2,0,0,0,0,0,0
Usman Garuba,Hou,F,19.66,4,6.4,13.3,12.9,25,0,0,3,0.667,3,0,0.333,0.333,1,2,16.5,1,21.8,0.25,1,0.5,7.9,89.5,98.1
Luka Garza,Det,C,22.86,5,7.9,16.4,17.5,12.3,5,0.8,6,0.5,6,0.333,0.5,0.563,3.2,1.2,8.3,0.2,4.3,0.8,0.2,0.4,4.6,110.1,84.1
Paul George,Lac,F,31.52,8,35,72.8,34.3,15.6,43,0.884,99,0.535,71,0.38,0.55,0.595,28.1,8.1,11.9,4.9,26.5,3,0.5,4.38,11.9,105.3,94.1
Taj Gibson,Nyk,F,36.37,5,16.2,33.8,12,13.4,3,1,15,0.667,3,0,0.556,0.595,4.6,4,13.1,0.8,7,0.2,1,0.6,6.1,129.5,93.2
Josh Giddey,Okc,G,19.07,8,29.5,61.4,19.9,17.5,13,0.615,63,0.46,21,0.286,0.452,0.468,10.5,6,10.3,6.1,34.6,1.63,0.75,2.38,9.9,99.4,103.1
Shai Gilgeous-Alexander,Okc,G-F,23.32,8,34.9,72.6,27.5,9,43,0.814,89,0.506,54,0.389,0.535,0.581,23.5,4.9,7.1,3.9,21.7,0.75,0.38,2,8.8,113.8,108.2
Rudy Gobert,Uta,C,29.36,8,31.4,65.5,16.8,18,66,0.682,53,0.736,0,0,0.736,0.75,15.4,17.3,28.3,1.3,6,0.88,1.75,2.25,8.9,135.9,89
Aaron Gordon,Den,F,26.14,8,29.3,61,18.8,17,18,0.611,55,0.655,20,0.3,0.6,0.609,12.6,6.1,11.5,1.6,8.3,0.5,0.88,2.13,6.8,108.4,99.3
Eric Gordon,Hou,G,32.86,7,26.6,55.4,19.5,15.9,21,0.81,34,0.441,31,0.548,0.623,0.66,14,1.7,3.4,1.6,9.5,0.71,0.29,2,5.1,113.2,112.5
Devonte' Graham,Nor,G,26.7,10,32.5,67.6,23.1,11.7,32,0.781,53,0.415,91,0.352,0.486,0.522,16.5,3.1,5,5.2,25.7,1.5,0.1,2.1,7.9,107.4,111.9
Jerami Grant,Det,F,27.66,8,33,68.7,25.1,12.3,36,0.806,78,0.436,42,0.286,0.433,0.49,16.6,5,8.2,2.5,13.9,1.38,1.25,2.38,7.2,96.1,108.1
